,TIC ID,TOI,RA,Dec,RA_deg,Dec_deg,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date,Spectra?,NIRC2?,Best imaging contrast
57786,432114158,3763.01,03:51:47.44,47:08:59.62,57.94766666666666,47.14989444444444,PC,3,4,4,3,4,4,4,7284.0,2.0042660706181,0.00018148088,11.832,0.022,11.674,0.029,11.566,0.027,0.429,3.71,2025-12-07,True,True,6.6
39058,87090944,1677.01,03:53:56.78,58:58:05.88,58.48658333333332,58.9683,PC,3,4,3,3,4,4,4,5919.7,0.64358070986308,3.8836606e-05,9.421,0.023,9.121,0.021,9.042,0.018,0.173,4.54,2020-02-16,True,False,7.668
57763,87091417,3743.01,03:53:57.83,58:44:53.18,58.49095833333333,58.748105555555554,PC,3,4,3,3,4,4,4,3898.0,2.1186344,0.0009396,11.072,0.023,10.41,0.021,10.187,0.018,0.534,1.59,2025-10-01,True,True,6.808
7562,89256802,457.01,03:54:54.09,-26:25:24.28,58.72537499999999,-26.42341111111111,PC,2,4,4,2,3,4,4,3054.0,1.1759834492408,4.5913566e-06,11.901,0.023,11.261,0.025,10.98,0.023,1.056,1.06,2020-01-09,False,False,5.23
57779,647636934,3747.01,03:55:56.08,57:50:02.84,58.98366666666666,57.83412222222223,PC,3,4,3,3,3,4,4,7747.0,1.5503071689468,0.00034876473,,,,,,,0.246,4.39,2022-09-14,False,False,6.24
59214,459913687,4198.01,03:56:04.45,03:36:36.41,59.018541666666664,3.610113888888889,PC,3,4,3,3,3,4,4,5648.0,4.746318,0.0008478,12.387,0.024,11.936,0.026,11.871,0.03,0.914,3.9,2024-08-22,False,False,4.3
73191,467649533,6045.01,04:02:33.79,34:00:14.89,60.640791666666665,34.00413611111111,PC,3,4,4,3,3,4,4,6128.0,7.4826324895385,0.001063082,9.869,0.019,9.539,0.028,9.484,0.021,0.116,2.6,2023-08-30,True,False,7.2
68871,467684543,5356.01,04:03:51.52,31:46:33.47,60.96466666666665,31.77596388888889,PC,3,4,3,3,3,4,4,6577.4,3.1948695,0.0005079,11.781,0.027,11.467,0.03,11.373,0.021,0.622,3.7,2022-12-22,False,False,6.4
73478,266609407,6350.01,04:05:38.67,50:03:12.22,61.41112499999999,50.05339444444444,PC,3,4,3,3,3,4,4,6197.6,2.4766677,8.4e-06,12.333,0.027,12.001,0.032,11.86,0.024,0.131,2.1,2023-09-30,False,False,6.1
8525,319312479,952.01,04:07:07.07,-13:46:00.69,61.77945833333332,-13.766858333333333,PC,3,4,3,3,4,4,4,7110.0,1.79011,1e-05,9.688,0.024,9.532,0.025,9.441,0.021,1.1682,4.7,2019-08-12,True,False,7.2
57758,417844678,3730.01,04:16:55.42,36:55:26.8,64.23091666666666,36.92411111111111,PC,3,4,3,3,3,4,4,4837.0,2.5404528628326,0.00058305194,12.127,0.023,11.823,0.029,11.702,0.021,0.329,1.12,2021-12-21,False,False,
