# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Jul 03 15:41:36 2026
# Search parameters: Dec min = -30; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,TESS mag,J mag,H mag,K mag,Stellar Companion Filter Name,Stellar Companion Filter,Stellar Companion notes,Stellar Companion user,Stellar Companion Separation,Stellar Companion Separation Unc.,Stellar Companion Position angle,Stellar Companion Position angle Unc.,Stellar Companion Delta mag,Stellar Companion Delta mag Unc.,Stellar Companion Observation date,Stellar Companion Tag
219187649,676.01,11:24:49.43,-18:37:02.2,PC,3,5,5,3,4,4,4,13.4629,12.629,12.319,12.133,J,,,ciardi,1.498,0.00141,260,,1.4189,0.00778,2019-05-12,4289
219187649,676.01,11:24:49.43,-18:37:02.2,PC,3,5,5,3,4,4,4,13.4629,12.629,12.319,12.133,832,832 (40) nm,180 degree ambiguity in PA, uncertain fit,furlan,1.264,,103.8,,2.2,,2020-02-16,18231
219189765,737.01,11:24:03.55,-19:33:25.05,CP,3,5,5,3,4,4,4,14.7599,13.25,12.602,12.361,Jcont,,,ciardi,0.845,0.00141,46,,2.6418,0.03026,2019-06-10,4059
219189765,737.01,11:24:03.55,-19:33:25.05,CP,3,5,5,3,4,4,4,14.7599,13.25,12.602,12.361,Brgamma,,,ciardi,0.842,0.00141,46,,2.615,0.01257,2019-06-10,4059
219189765,737.01,11:24:03.55,-19:33:25.05,CP,3,5,5,3,4,4,4,14.7599,13.25,12.602,12.361,832,832 (40) nm,180 degree ambiguity in PA, uncertain fit,furlan,0.798,,47.7,,3.25,,2020-02-16,18230
413376180,781.01,11:46:57.32,-22:33:46.84,KP,5,5,5,5,5,5,5,12.7492,11.906,11.475,11.386,I,879 (289) nm,,ziegler,1.2562,,45.2,,4.4,,2020-02-12,16699
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.1682,,135,,4.7,,2019-08-12,16119
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,I,879 (289) nm,Ziegler et al. (2020),ziegler,0.1176,,59.4,,3.6,,2019-08-12,16120
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,832,832 (40) nm,,furlan,0.16,,72.9,,3.47,,2020-01-14,17933
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,832,832 (40) nm,uncertain fit,furlan,1.193,,136.4,,4.95,,2020-01-14,17933
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,J,1.238 (0.271) microns,,dressing,1.17,,133.6,,3.596,,2019-09-14,441870
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,Ks,2.15 (0.32) microns,,dressing,1.169,,133.3,,2.914,,2019-09-14,441870
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,832,832 (40) nm,NESSI@WIYN,everett,1.162,,135.339,,4.74,,2019-10-12,417466
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,832,832 (40) nm,,furlan,0.158,,71.2,,3.57,,2019-10-13,17195
319312479,952.01,04:07:07.07,-13:46:00.69,PC,3,4,3,3,4,4,4,10.0716,9.688,9.532,9.441,832,832 (40) nm,uncertain fit,furlan,1.17,,134.7,,4.8,,2019-10-13,17195
107782586,1009.01,07:26:40.28,-24:27:43.6,PC,3,4,3,3,3,4,4,8.4331,8.552,8.578,8.64,I,879 (289) nm,,ziegler,0.2602,,37,,3,,2019-10-16,16133
